abbr,lat,lon,name
AK,63.588753,-154.493062,Alaska
AL,32.318231,-86.9022980,Alabama
AR,35.201050,-91.8318330,Arkansas
AZ,34.048928,-111.093731,Arizona
CA,36.778261,-119.417932,California
CO,39.550051,-105.782067,Colorado
CT,41.603221,-73.0877490,Connecticut
DC,38.905985,-77.0334180,District of Columbia
DE,38.910832,-75.5276700,Delaware
FL,27.664827,-81.5157540,Florida
GA,32.157435,-82.9071230,Georgia
HI,19.898682,-155.665857,Hawaii
IA,41.878003,-93.0977020,Iowa
ID,44.068202,-114.742041,Idaho
IL,40.633125,-89.3985280,Illinois
IN,40.551217,-85.6023640,Indiana
KS,39.011902,-98.4842460,Kansas
KY,37.839333,-84.2700180,Kentucky
LA,31.244823,-92.1450240,Louisiana
MA,42.407211,-71.3824370,Massachusetts
MD,39.045755,-76.6412710,Maryland
ME,45.253783,-69.4454690,Maine
MI,44.314844,-85.6023640,Michigan
MN,46.729553,-94.6859000,Minnesota
MO,37.964253,-91.8318330,Missouri
MS,32.354668,-89.3985280,Mississippi
MT,46.879682,-110.362566,Montana
NC,35.759573,-79.0193000,North Carolina
ND,47.551493,-101.002012,North Dakota
NE,41.492537,-99.9018130,Nebraska
NH,43.193852,-71.5723950,New Hampshire
NJ,40.058324,-74.4056610,New Jersey
NM,34.972730,-105.032363,New Mexico
NV,38.802610,-116.419389,Nevada
NY,43.299428,-74.2179330,New York
OH,40.417287,-82.9071230,Ohio
OK,35.007752,-97.0928770,Oklahoma
OR,43.804133,-120.554201,Oregon
PA,41.203322,-77.1945250,Pennsylvania
RI,41.580095,-71.4774290,Rhode Island
SC,33.836081,-81.1637250,South Carolina
SD,43.969515,-99.9018130,South Dakota
TN,35.517491,-86.5804470,Tennessee
TX,31.968599,-99.9018130,Texas
UT,39.320980,-111.093731,Utah
VA,37.431573,-78.6568940,Virginia
VT,44.558803,-72.5778410,Vermont
WA,47.751074,-120.740139,Washington
WI,43.784440,-88.7878680,Wisconsin
WV,38.597626,-80.4549030,West Virginia
WY,43.075968,-107.290284,Wyoming